Product,Brand,Product Code,Product Specification,Price,Inward Date,Dispatch Date,Quantity Sold,Customer Name,Customer Location,Region,Core Specification,Processor Specification,RAM,ROM,SSD
Laptop,Microsoft,B9A86E67,Else financial more direction art who soon main travel upon.,135581,2025-01-20,2025-02-06,1,Taylor Abbott,Martinberg,North,Ryzen 3,Ryzen 3,4GB,128GB,256GB
Laptop,iQOO,F5A7CFA3,Director standard forward method them lose past character condition.,7015,2023-12-14,2024-02-04,8,Kathleen Massey,New Kristieport,South,Ryzen 9,Ryzen 9,32GB,1TB,512GB
Laptop,Motorola,5BF1FB71,Article write bed field tree admit machine positive will enough.,162166,2024-01-13,2024-02-14,3,Janet Collins,North Ericfurt,West,Ryzen 7,Ryzen 7,32GB,128GB,2TB
Laptop,Nokia,23EBF79A,Position imagine sell else whose production.,118101,2023-04-27,2023-06-23,4,Sherry Martinez,Deckerton,West,i3,i3,4GB,128GB,2TB
Laptop,Realme,2A95D723,Politics eight compare coach mean agree.,150686,2023-08-09,2023-08-18,10,Andre Carroll,Matthewberg,North,i3,i3,32GB,256GB,1TB
Laptop,Vivo,10D09396,Happy at tax another speech physical could against.,128606,2023-11-29,2023-12-17,10,Theresa Todd,Jamesfort,East,Ryzen 7,Ryzen 7,8GB,1TB,256GB
Laptop,Asus,32D06DA0,List under turn section western trade oil.,71067,2024-11-29,2024-12-05,3,Katherine Crawford,New Jenniferview,West,Ryzen 3,Ryzen 3,12GB,64GB,1TB
Laptop,Apple,0B4C715A,Company company past help process along.,90665,2025-03-06,2025-03-09,9,Michelle Hardy,Davidberg,North,Ryzen 3,Ryzen 3,32GB,512GB,256GB
Laptop,Acer,C8BAAC79,Need example raise large boy would figure per thank.,146114,2023-12-26,2024-02-23,4,Chelsea Horn,Aguilarshire,North,Ryzen 9,Ryzen 9,8GB,128GB,256GB
Laptop,Lenovo,3F399072,Radio wear air say star choice goal.,197075,2023-09-26,2023-11-08,8,Diane Palmer,Bellmouth,Central,i3,i3,16GB,512GB,2TB
Laptop,Realme,2C2BD7F6,Adult shoulder least leave fill join almost eye bag particularly million wife how.,100321,2025-02-02,2025-02-26,1,Michael Sullivan,Williamsstad,East,Ryzen 3,Ryzen 3,6GB,512GB,2TB
Laptop,OnePlus,25D47C7A,Represent far argue position thank natural whether south throw.,13588,2024-10-09,2024-11-23,7,Harold Nolan,Timothyburgh,West,i5,i5,16GB,64GB,256GB
Laptop,OnePlus,E9DB8534,Meet identify authority whose tax school east easy by election camera produce.,136309,2024-02-17,2024-02-26,1,Kyle Barron,Alexandriashire,East,i7,i7,16GB,256GB,512GB
Laptop,iQOO,5B00EE28,Agree writer run interview professional yet quality hospital send exist.,191149,2023-10-19,2023-10-31,4,Bianca Perez,Poolemouth,Central,Ryzen 7,Ryzen 7,8GB,128GB,256GB
Laptop,Google,2033356D,Record avoid second begin move to gun form assume least national move.,107654,2023-06-08,2023-06-11,7,Miranda Cook,Knappberg,Central,Ryzen 5,Ryzen 5,4GB,256GB,1TB
Laptop,Apple,B5714ED0,Prevent television land information analysis south movie audience over.,15497,2023-08-25,2023-09-07,7,David Bradley,Rebeccatown,East,Ryzen 7,Ryzen 7,12GB,512GB,2TB
Laptop,OnePlus,C08D0A20,Long anything art issue happy represent personal physical be.,60100,2024-04-01,2024-05-11,4,Elizabeth Jackson,East Kevinstad,North,i7,i7,12GB,1TB,1TB
Laptop,Realme,A7631B1A,Market difference sound boy surface record activity single key environment number threat.,178421,2024-04-15,2024-05-11,10,Anthony Henry,Dorothyberg,East,Ryzen 3,Ryzen 3,4GB,256GB,256GB
Laptop,Acer,082DAFE9,Believe thus fish market develop cold wall rate spring news positive.,62319,2024-04-29,2024-06-06,8,Pamela Maxwell,New Taylor,South,Ryzen 5,Ryzen 5,8GB,128GB,256GB
Laptop,Dell,AE9EFC43,Professional street can discuss news evidence she.,65217,2025-02-24,2025-03-19,1,Maria Hopkins,South William,East,Ryzen 3,Ryzen 3,16GB,1TB,512GB
Laptop,Redmi,C47D4A2E,Camera various worry skin include visit test.,79780,2024-09-05,2024-09-06,10,Robert Spencer,Kingburgh,East,Ryzen 9,Ryzen 9,8GB,64GB,256GB
Laptop,Nokia,B4F71F7D,Ability population attorney per fact ever cover still reveal above create deal area to.,151181,2024-08-26,2024-10-05,4,Kyle Foster,South Gerald,East,i3,i3,8GB,64GB,2TB
Laptop,Acer,95D8C40E,Idea line expert authority expect investment world.,10719,2024-06-27,2024-07-10,7,Michael Carter,Robertchester,East,i3,i3,4GB,64GB,512GB
Laptop,Google,4CC0F824,Suffer send great then wish sing site opportunity but artist road.,85638,2024-05-30,2024-07-14,8,Nathaniel Dominguez,Lake Justin,West,i3,i3,32GB,1TB,512GB
Laptop,Google,3C1A4A9B,Deal determine class as seat reach yeah it go pull cold lead.,11534,2024-09-08,2024-11-02,5,Keith Thomas,Perryfort,West,Ryzen 7,Ryzen 7,6GB,512GB,256GB
Laptop,Toshiba,CB37ED95,Somebody professor watch somebody herself sea lead action.,197178,2023-06-25,2023-07-28,3,Abigail Smith,Stephensonton,Central,Ryzen 7,Ryzen 7,6GB,128GB,2TB
Laptop,Nokia,F603AE06,Item eight teach decade station drive fish information growth member imagine population when.,36342,2024-08-19,2024-08-23,10,Juan George,South Dianeburgh,North,Ryzen 7,Ryzen 7,4GB,64GB,256GB
Laptop,Microsoft,859E351B,These evening provide its inside clear number increase small ok science run painting.,161210,2023-07-27,2023-08-12,5,Sharon Morris,Kimberlybury,South,Ryzen 3,Ryzen 3,4GB,256GB,2TB
Laptop,Huawei,9F0BC862,Still window cultural attorney she future road speak black agent crime.,17243,2024-05-12,2024-06-05,8,Jennifer Benitez,East Barbaratown,Central,i3,i3,12GB,128GB,256GB
Laptop,Realme,D8168ECC,Training early smile interview free city even help two cut fine among.,125043,2024-06-02,2024-07-03,3,Kelly Baker,West Jeremiahbury,East,Ryzen 9,Ryzen 9,6GB,64GB,512GB
Laptop,HP,77232AF9,Figure both picture skill high difficult as subject four visit.,184619,2023-03-27,2023-05-05,5,Amy Rogers,North Donald,Central,Ryzen 3,Ryzen 3,6GB,128GB,1TB
Laptop,Toshiba,5A077387,Air surface born difficult hundred almost let road drug painting sit.,108200,2024-07-21,2024-08-25,9,Thomas Wilson,Terryville,West,Ryzen 7,Ryzen 7,4GB,64GB,1TB
Laptop,Redmi,2E151090,Man southern before even season night.,137198,2025-03-10,2025-03-18,8,Frank Sweeney,Port Michael,South,Ryzen 3,Ryzen 3,32GB,512GB,256GB
Laptop,Asus,75C9DE7C,Imagine oil laugh company deal think.,149766,2023-05-08,2023-07-04,10,Antonio Baldwin III,East Tinamouth,Central,i5,i5,4GB,64GB,1TB
Laptop,Redmi,4DD8EEF1,Indicate every class listen sit short result lawyer by certain.,137096,2024-08-17,2024-09-18,6,Alex White,Lake Kenneth,North,Ryzen 3,Ryzen 3,4GB,128GB,256GB
Laptop,HP,083B81C3,Indeed way improve college look dark.,161273,2023-04-27,2023-04-29,8,Julie Rojas,Hughesside,South,i5,i5,32GB,1TB,256GB
Laptop,Dell,10621027,Enter vote social play culture per operation early improve.,186932,2024-02-19,2024-04-19,9,Christine Schwartz,Lake Thomasberg,Central,i9,i9,12GB,1TB,256GB
Laptop,Apple,473A54EA,Back white room wish control body.,160413,2024-03-16,2024-04-08,7,Heather Wilson,South Beverly,West,Ryzen 5,Ryzen 5,16GB,512GB,1TB
Laptop,Sony,6C6C6A7E,Development same surface surface herself certain stop ten among including level situation maintain week.,84156,2024-09-25,2024-10-19,6,Teresa Benitez,Christopherfort,South,i5,i5,6GB,256GB,2TB
Laptop,Lenovo,5BFC8BBB,Color past reflect worker scientist home.,49596,2023-08-02,2023-09-19,10,Julia Wilson DVM,Lake Rebecca,East,Ryzen 9,Ryzen 9,16GB,1TB,256GB
Laptop,Vivo,FE2F8E8D,Sport allow development executive why start without.,80191,2023-04-14,2023-04-15,6,Keith Hall,East Sarah,South,Ryzen 7,Ryzen 7,8GB,256GB,256GB
Laptop,Motorola,7AFC2E71,Material class manager city develop operation Congress total say music last opportunity employee.,193541,2024-09-11,2024-10-19,7,Randy Rhodes,East Russellstad,South,Ryzen 9,Ryzen 9,32GB,1TB,1TB
Laptop,Sony,7A1F15B1,Thank show positive tend race everybody themselves serve claim describe buy degree.,30058,2023-04-29,2023-05-19,1,Edward Palmer,Wisemouth,West,Ryzen 5,Ryzen 5,4GB,64GB,256GB
Laptop,Oppo,B6644D22,Through want write beat side table and.,68717,2023-04-08,2023-05-11,2,Daniel Carter,Lauriestad,South,Ryzen 5,Ryzen 5,6GB,1TB,1TB
Laptop,Toshiba,E6B0429F,Agreement word eight exist number lot place if.,89251,2024-04-21,2024-05-28,10,Marcia Simpson,Weaverland,Central,i9,i9,4GB,1TB,2TB
Laptop,HP,76183088,Truth parent significant record happy number other you majority hot hot career.,162143,2025-02-04,2025-02-16,7,Richard Wong,New Jameshaven,East,i5,i5,32GB,64GB,256GB
Laptop,Asus,E3D31276,Congress civil especially reduce heavy entire maybe involve candidate practice defense so anyone.,192855,2024-04-24,2024-06-20,4,Holly White,Nelsonstad,Central,i3,i3,12GB,128GB,512GB
Laptop,Motorola,FB33428E,Leave contain through its base idea mouth ever discover natural.,146648,2023-07-18,2023-08-18,8,Brett Tran,New Joseph,West,i3,i3,8GB,256GB,512GB
Laptop,Toshiba,4B6EB507,General management road group teacher occur fine military next second since task.,199198,2024-04-11,2024-05-03,10,John Scott,Evansville,Central,i3,i3,4GB,512GB,2TB
Laptop,Sony,3C151ED2,Education painting shake boy enough recent second.,157754,2024-09-02,2024-09-04,9,Crystal Holloway,West Jennifer,West,i5,i5,32GB,256GB,256GB
Laptop,Microsoft,47D4FCD0,Board measure sign those work fact foreign throughout manage tax government future participant.,180782,2023-10-22,2023-11-21,2,Elizabeth Anderson MD,Simsview,South,i7,i7,12GB,512GB,256GB
Laptop,Huawei,288B8A2A,Pay article yeah truth form reality central skill several miss.,187061,2023-04-17,2023-05-11,2,Stephanie Smith,Lake Leslieport,South,Ryzen 9,Ryzen 9,16GB,128GB,1TB
Laptop,Dell,8EBCED1B,Yourself street data tonight company when manage sit protect.,174203,2024-04-25,2024-05-17,5,Emily Maldonado,Port Hailey,Central,i7,i7,32GB,1TB,256GB
Laptop,Realme,A741333C,Or sing form war Republican whose spend contain customer citizen education experience.,27590,2025-02-08,2025-03-04,9,Whitney Lopez,Port Sheila,East,Ryzen 5,Ryzen 5,6GB,256GB,1TB
Laptop,Apple,2C317FFC,Suffer fund subject information drop watch trip ahead involve rule.,174093,2025-01-06,2025-02-13,8,Rebecca Johnson,Kathleenborough,Central,i9,i9,12GB,1TB,1TB
Laptop,Vivo,81B647C4,Tough yeah its organization line physical that stock majority million voice it.,97535,2024-11-23,2024-12-02,3,Brittany Young,New Angelaland,East,i7,i7,16GB,512GB,256GB
Laptop,Nokia,080EE8C3,Boy discover tonight skill begin dark trip break ball.,79152,2025-02-04,2025-03-15,3,Sarah Bowman,East Rhonda,East,i7,i7,6GB,128GB,256GB
Laptop,Dell,7275D496,Road school it information fill magazine economy scene meet inside financial.,198484,2024-11-15,2024-12-26,2,Javier Compton,Peterbury,Central,i5,i5,32GB,256GB,512GB
Laptop,Lenovo,B1EADFDF,Hear be look name civil analysis like.,134245,2024-03-20,2024-05-14,7,Terri Martinez,Martinezmouth,West,i5,i5,12GB,1TB,1TB
Laptop,Sony,876852EC,Role safe when security agency career memory finally discussion plan.,194169,2024-08-16,2024-08-23,6,Tommy Smith,North Allison,South,Ryzen 7,Ryzen 7,4GB,1TB,1TB
Laptop,Dell,EB7BDFE5,General security role sometimes evening song several year.,139456,2023-03-24,2023-04-07,1,Ryan Reyes,Lake Amanda,West,Ryzen 7,Ryzen 7,12GB,128GB,1TB
Laptop,Motorola,404664E4,Which carry everybody country than work.,83235,2023-09-01,2023-09-19,1,Jonathon Sampson,East Jeffrey,East,i5,i5,16GB,512GB,256GB
Laptop,Realme,C384DC60,Character rule onto throughout near me far over language music appear address building.,135467,2024-02-15,2024-02-21,1,Dean Williams,Cookstad,Central,Ryzen 5,Ryzen 5,32GB,128GB,1TB
Laptop,Samsung,0BB62EEE,Reflect performance hot dark wall analysis very fire participant green direction.,25617,2023-08-20,2023-09-20,3,James Park,Riosmouth,South,Ryzen 7,Ryzen 7,12GB,256GB,512GB
Laptop,Lenovo,EA01E6E2,Become city manage everyone say maybe imagine hair like.,123207,2023-04-03,2023-04-25,9,Casey Burgess,Francisland,Central,i7,i7,16GB,256GB,256GB
Laptop,Apple,007DCA0E,Better protect star space down manager.,45370,2023-04-11,2023-04-25,9,Michael Soto,South Matthew,South,i7,i7,6GB,64GB,256GB
Laptop,Samsung,0E914E1B,Outside arrive space charge civil threat actually check house water them the garden.,69894,2025-03-15,2025-05-09,1,Thomas Rodriguez,Markfurt,West,i3,i3,6GB,256GB,512GB
Laptop,iQOO,5DA380A9,Record cultural nation few join past maybe provide individual stand here.,169309,2024-07-16,2024-08-30,4,Adam Hendrix,Lake Joseph,North,Ryzen 5,Ryzen 5,6GB,128GB,256GB
Laptop,Oppo,F85A2139,Try own bring person relationship growth respond close whom open book weight down.,199788,2024-06-02,2024-07-02,6,Jessica Williams,Stephenfurt,East,Ryzen 9,Ryzen 9,32GB,64GB,1TB
Laptop,Vivo,7F924E18,World remain class very first create fill past continue than dream seat peace maintain.,21140,2023-11-15,2023-12-02,5,Caitlin Wise,Jaredmouth,Central,Ryzen 7,Ryzen 7,6GB,512GB,512GB
Laptop,Huawei,3BC10D74,Partner standard today to reveal tonight bring then relationship.,58996,2023-06-08,2023-07-24,5,Margaret Murray,North Heidihaven,West,Ryzen 3,Ryzen 3,8GB,128GB,512GB
Laptop,Sony,344226B7,Seek talk seven process management drug base course wait wait right technology box.,190791,2023-09-28,2023-10-02,7,Toni Murray,Joneschester,West,i9,i9,32GB,64GB,1TB
Laptop,Asus,017D292C,Sing parent field trade similar our glass.,115958,2023-06-24,2023-07-10,2,Kelly Howe,North Peggy,West,i7,i7,6GB,64GB,512GB
Laptop,Nokia,B104C358,Those what individual provide happy either now mouth decision position candidate give bank.,93139,2023-04-09,2023-04-21,9,Wesley Hunt,Mariahton,South,i9,i9,16GB,256GB,512GB
Laptop,Realme,4AAFE732,Should fund do list card five boy property war section factor need.,14543,2025-02-24,2025-04-25,3,Dr. Michelle Garcia DVM,Natashachester,North,Ryzen 7,Ryzen 7,32GB,64GB,1TB
Laptop,HP,EF10A66F,Moment role include cut magazine show time mind tax sell.,163011,2024-07-01,2024-08-16,6,Catherine Stephens,Staceyborough,West,Ryzen 3,Ryzen 3,8GB,1TB,512GB
Laptop,Vivo,06A38179,Through heavy order instead never some figure social should throughout friend.,190114,2024-11-01,2024-11-30,4,Eric Carey,Port Brianhaven,West,i9,i9,8GB,1TB,256GB
Laptop,OnePlus,9ABD837E,General character level social skin billion eat network body safe at.,161020,2023-06-13,2023-07-11,10,Shelby Heath,Michaelside,South,Ryzen 3,Ryzen 3,32GB,1TB,1TB
Laptop,Motorola,19D722A8,Find space nature play guess finish deal mission record move gun.,194512,2024-03-07,2024-03-11,4,William Jones,Nicholsfort,North,Ryzen 9,Ryzen 9,6GB,128GB,1TB
Laptop,HP,212503E4,Important early offer however according father approach watch success relate like early.,105871,2024-03-17,2024-03-23,8,Melissa Jones,Ibarrahaven,North,i5,i5,4GB,256GB,1TB
Laptop,Motorola,08D91DEA,Add tend quickly increase sing hard.,11883,2024-12-23,2025-01-19,1,Stephanie Hines,Lake Justinfurt,Central,Ryzen 7,Ryzen 7,32GB,256GB,2TB
Laptop,Huawei,0A475B03,Leave never past three end life herself.,179804,2024-12-24,2025-01-01,5,Melissa Davis,Kristenfort,South,Ryzen 5,Ryzen 5,16GB,128GB,2TB
Laptop,HP,D1DC04D6,Significant third hair more rock too food western.,121070,2024-06-03,2024-06-17,10,Kaitlin Odonnell,South Tonyafurt,East,Ryzen 9,Ryzen 9,12GB,128GB,256GB
